breakout_port,preamp_channel,chipID,channelID,chipID_coinc,channelID_coinc,SIG,absID,absID_coinc,hit_det_id,hit_pair_id,assembly_id
1,1,4,39,0,29,20,295,29,295,1001,1
1,2,4,37,0,30,19,293,30,293,1002,1
1,3,4,35,0,31,18,291,31,291,1003,1
1,4,4,36,0,32,17,292,32,292,1004,1
1,5,4,33,0,34,16,289,34,289,1005,1
1,6,0,29,4,39,1,29,295,29,1001,1
1,7,0,30,4,37,2,30,293,30,1002,1
1,8,0,31,4,35,3,31,291,31,1003,1
1,9,0,32,4,36,4,32,292,32,1004,1
1,10,0,34,4,33,5,34,289,34,1005,1
1,11,0,33,4,34,11,33,290,33,1011,1
1,12,0,36,4,32,12,36,288,36,1012,1
1,13,0,35,4,31,13,35,287,35,1013,1
1,14,0,37,4,30,14,37,286,37,1014,1
1,15,0,39,4,29,15,39,285,39,1015,1
1,16,4,34,0,33,10,290,33,290,1011,1
1,17,4,32,0,36,9,288,36,288,1012,1
1,18,4,31,0,35,8,287,35,287,1013,1
1,19,4,30,0,37,7,286,37,286,1014,1
1,20,4,29,0,39,6,285,39,285,1015,1
2,1,4,13,0,59,26,269,59,269,2001,2
2,2,4,2,0,61,27,258,61,258,2002,2
2,3,4,11,0,58,28,267,58,267,2003,2
2,4,4,27,0,62,29,283,62,283,2004,2
2,5,4,38,0,9,30,294,9,294,2005,2
2,6,0,59,4,13,21,59,269,59,2001,2
2,7,0,61,4,2,22,61,258,61,2002,2
2,8,0,58,4,11,23,58,267,58,2003,2
2,9,0,62,4,27,24,62,283,62,2004,2
2,10,0,9,4,38,25,9,294,9,2005,2
2,11,0,38,4,9,31,38,265,38,2011,2
2,12,0,27,4,62,32,27,318,27,2012,2
2,13,0,11,4,58,33,11,314,11,2013,2
2,14,0,2,4,61,34,2,317,2,2014,2
2,15,0,13,4,59,35,13,315,13,2015,2
2,16,4,9,0,38,36,265,38,265,2011,2
2,17,4,62,0,27,37,318,27,318,2012,2
2,18,4,58,0,11,38,314,11,314,2013,2
2,19,4,61,0,2,39,317,2,317,2014,2
2,20,4,59,0,13,40,315,13,315,2015,2
3,1,1,13,5,15,66,77,335,77,3001,3
3,2,1,2,5,8,67,66,328,66,3002,3
3,3,1,11,5,7,68,75,327,75,3003,3
3,4,1,27,5,14,69,91,334,91,3004,3
3,5,1,38,5,5,70,102,325,102,3005,3
3,6,5,15,1,13,75,335,77,335,3001,3
3,7,5,8,1,2,74,328,66,328,3002,3
3,8,5,7,1,11,73,327,75,327,3003,3
3,9,5,14,1,27,72,334,91,334,3004,3
3,10,5,5,1,38,71,325,102,325,3005,3
3,11,5,12,1,9,65,332,73,332,3011,3
3,12,5,3,1,62,64,323,126,323,3012,3
3,13,5,10,1,58,63,330,122,330,3013,3
3,14,5,0,1,61,62,320,125,320,3014,3
3,15,5,1,1,59,61,321,123,321,3015,3
3,16,1,9,5,12,76,73,332,73,3011,3
3,17,1,62,5,3,77,126,323,126,3012,3
3,18,1,58,5,10,78,122,330,122,3013,3
3,19,1,61,5,0,79,125,320,125,3014,3
3,20,1,59,5,1,80,123,321,123,3015,3
4,1,1,39,5,29,60,103,349,103,4001,4
4,2,1,37,5,30,59,101,350,101,4002,4
4,3,1,35,5,31,58,99,351,99,4003,4
4,4,1,36,5,32,57,100,352,100,4004,4
4,5,1,33,5,34,56,97,354,97,4005,4
4,6,5,29,1,39,41,349,103,349,4001,4
4,7,5,30,1,37,42,350,101,350,4002,4
4,8,5,31,1,35,43,351,99,351,4003,4
4,9,5,32,1,36,44,352,100,352,4004,4
4,10,5,34,1,33,45,354,97,354,4005,4
4,11,5,33,1,34,51,353,98,353,4011,4
4,12,5,36,1,32,52,356,96,356,4012,4
4,13,5,35,1,31,53,355,95,355,4013,4
4,14,5,37,1,30,54,357,94,357,4014,4
4,15,5,39,1,29,55,359,93,359,4015,4
4,16,1,34,5,33,50,98,353,98,4011,4
4,17,1,32,5,36,49,96,356,96,4012,4
4,18,1,31,5,35,48,95,355,95,4013,4
4,19,1,30,5,37,47,94,357,94,4014,4
4,20,1,29,5,39,46,93,359,93,4015,4
